File,Heating energy,Cooling energy,Fan energy,Comfort,IAQ ratio
FCU_FanOutletBlockage,0.0,10.007147898304227,2.1079449588157146,0.16058408321404385,67.61256305080478
FCU_FilterRestriction_10%,0.0,0.33456094853455254,0.7211021206049608,0.00024526605577872426,6.374436718974747
FCU_FilterRestriction_20%,0.0,0.7649308422395542,1.3845476031882915,0.0,13.195625434646935
FCU_FilterRestriction_50%,0.0,2.382772325655046,2.8969013575117377,0.00848598456953896,37.994577195201764
FCU_OABlockage,0.0,5.319581928131756,0.0,0.0,95.08013678130712
FCU_OADMPRLeak_20,5.281474165830695,0.0,0.3510651102187733,0.051614142314767054,0.0
FCU_OADMPRLeak_50,12.00340667831519,0.0,0.5411490096938277,0.09411477249385801,0.0
FCU_OADMPRLeak_80,17.365889076128145,0.0,0.8763814550246882,0.1367921710014384,0.0
FCU_OADMPRStuck_0,0.0,6.773619263930625,0.0,0.0,100.0
FCU_OADMPRStuck_100,0.0,0.0,4.403241261818821,100.0,0.0
FCU_OADMPRStuck_30,4.904928793313601,0.0008583986226658628,0.37136289857877147,0.0,0.0
FCU_OADMPRStuck_50,30.741499638279794,0.0,2.700942881990134,26.946352977715527,0.0
FCU_OADMPRStuck_80,0.0,0.0,1.562406033593495,63.337533864392526,0.0
FCU_SensorBias_RMTemp_+2C,0.0,1.2210746581581626,0.0,0.0,0.0
FCU_SensorBias_RMTemp_+4C,0.0,2.9144782081081164,0.0,0.0,0.0
FCU_SensorBias_RMTemp_-2C,8.08941924408241,0.0,1.34619433738222,0.11409953683162552,10.716248529820659
FCU_SensorBias_RMTemp_-4C,18.877790836022577,0.0,4.447009499571078,0.38183174235945383,9.379785898918495
FCU_VLVLeak_Cooling_20,76.84546451031969,67.3904179696952,5.018525805642114,0.3312262843191287,1.2648785094945025
FCU_VLVLeak_Cooling_50,97.96880386382456,98.06297756092489,7.561323094913849,0.4736860898527552,0.0
FCU_VLVLeak_Cooling_80,98.18780329676605,100.0,8.685116400866477,0.512345323293363,0.0
FCU_VLVLeak_Heating_20,22.979882278287022,18.78094665266991,0.0,0.0,0.0
FCU_VLVLeak_Heating_50,51.37681514999925,37.11111382645888,3.011702105346111,0.07906736853120683,0.0
FCU_VLVLeak_Heating_80,71.23014493208181,42.81899347542028,15.259438297494942,0.2699815825078543,0.0
FCU_VLVStuck_Cooling_0,0.0,0.0,2.320309907980853,0.1291679320332847,0.0
FCU_VLVStuck_Cooling_100,97.21280474376402,93.48337507577345,8.758536066791116,0.5186305421732106,0.0
FCU_VLVStuck_Cooling_20,61.56936508017833,54.244099394909725,3.6428694526864454,0.26049685688235075,2.2459553492052566
FCU_VLVStuck_Cooling_50,100.0,98.97053776974954,7.924839298033566,0.49006919949755323,0.0
FCU_VLVStuck_Cooling_80,97.09633533636963,91.93459029921254,8.730569853653419,0.5177268140938092,0.0
FCU_VLVStuck_Heating_0,0.0,0.0,100.0,27.169761629676714,40.879882681297836
FCU_VLVStuck_Heating_100,81.42418271622685,46.41123551982675,18.31377773595845,0.8685136187623316,0.0
FCU_VLVStuck_Heating_20,12.052486788026519,1.8680786225074193,46.12002079193241,14.410512094312264,5.354661579574891
FCU_VLVStuck_Heating_50,66.46809846774002,41.91880302788471,12.500401457217977,0.12902762217254615,0.0
FCU_VLVStuck_Heating_80,81.26470345302364,46.96961702427954,18.28230460426095,0.8440985981918009,0.0
