File,Average Weighted Score,rank,exp_weights
Normal,100.0,1.0,0.084472049689441
FCU_VLVStuck_Heating_100,57.10947770993577,2.0,0.07957617829740592
FCU_VLVStuck_Heating_80,56.927862959736004,3.0,0.07482645232005845
FCU_VLVLeak_Heating_80,53.104715998789025,4.0,0.07022287175739861
FCU_VLVStuck_Cooling_0,49.80152558634433,5.0,0.06576543660942638
FCU_VLVStuck_Heating_50,48.8077854384888,6.0,0.061454146876141764
FCU_VLVLeak_Heating_50,30.42246844613907,7.0,0.05728900255754476
FCU_VLVStuck_Cooling_80,20.00475376154859,8.0,0.053270003653635364
FCU_OADMPRStuck_0,19.950547054719646,9.0,0.049397150164413595
FCU_VLVStuck_Cooling_100,19.872743344037996,10.0,0.04567044208987943
FCU_VLVLeak_Cooling_80,19.682323402929278,11.0,0.04208987943003288
FCU_OABlockage,18.96460570177263,12.0,0.03865546218487395
FCU_FanOutletBlockage,18.25682037859217,13.0,0.03536719035440263
FCU_VLVStuck_Cooling_50,17.418091550017298,14.0,0.032225063938618924
FCU_VLVLeak_Cooling_50,15.720892670076248,15.0,0.029229082937522834
FCU_VLVLeak_Heating_20,10.719344080961962,16.0,0.026379247351114358
FCU_FilterRestriction_50%,7.818745962513877,17.0,0.023675557179393496
FCU_OADMPRStuck_100,5.502390308518958,18.0,0.02111801242236025
FCU_VLVStuck_Cooling_20,5.41935606887591,19.0,0.018706613080014613
FCU_OADMPRStuck_80,4.130002840722012,20.0,0.016441359152356595
FCU_SensorBias_RMTemp_+4C,3.071601330920197,21.0,0.01432225063938619
FCU_VLVStuck_Heating_20,2.9424795620357056,22.0,0.012349287541103399
FCU_FilterRestriction_20%,2.7491996991088623,23.0,0.01052246985750822
FCU_VLVLeak_Cooling_20,2.7268707462495394,24.0,0.008841797588600658
FCU_FilterRestriction_10%,1.332860445399838,25.0,0.007307270734380708
FCU_OADMPRStuck_50,1.1376237113320884,26.0,0.005918889294848374
FCU_SensorBias_RMTemp_+2C,0.8086036817113231,27.0,0.004676653270003653
FCU_OADMPRLeak_80,0.28969568699310677,28.0,0.0035805626598465474
FCU_OADMPRLeak_50,0.18789770371194875,29.0,0.002630617464377055
FCU_OADMPRLeak_20,0.08841803864850657,30.0,0.001826817683595177
FCU_OADMPRStuck_30,0.004017920178451199,31.0,0.0011691633175009133
FCU_VLVStuck_Heating_0,0.0027343249835177657,32.0,0.0006576543660942638
FCU_SensorBias_RMTemp_-2C,0.0005529871812604645,33.0,0.00029229082937522833
FCU_SensorBias_RMTemp_-4C,0.0,34.0,7.307270734380708e-05
